Tag;English
AfternoonTeaResolutionYAY_0_Content;Move the <icon=AngryMob_Icon> Marker <b>{{0=?|1 space|2 spaces}}</b> to the left.<br /><br />All players must discard a completed Experiment card back to the supply.{{1=?|<br /><br />All players who voted <b>NAY</b> <b>lose 2 <icon=Creepy_Icon></b> and may draw an <b>Advanced Weaponry</b> card.}}
AfternoonTeaResolutionNAY_0_Content;{{0=?|All players who voted <b>YAY</b> <b>gain 1 <icon=Creepy_Icon></b> and may draw an <b>Advanced Weaponry</b> card.|The player who did not win the bid <b>gains 2 <icon=Creepy_Icon></b> and may draw an <b>Advanced Weaponry</b> card.}}
ResistEvent_0_Content;In turn order, decide whether you will support the troops in town by providing quarters. If you choose to support them, Pay $1 to immediately build the <b>Temporary Housing</b> Upgrade.<br /><br />Once all players have chosen, continue to the next page.
ResistEvent1_0_Content;<b>Award {{0=...|1|2|3|...}}VP to any players who chose to quarter.</b><br /><br />All other players <b>MUST</b> take the <b>Temporary Housing</b> Estate Upgrade.
ResistEvent2_0_Content;<b>Award {{0=...|1|2|3|4|...}}VP to each player who chose to quarter.</b>
MartialSepEventa_Content;<b>The Region Needs Convincing</b><br />All players take their money into their hands. Players secretly choose any amount to place into their right hand to add to the total bribe fund.<br /><br />Once all players are ready, reveal the amount of money simultaneously.<br /><br />The Military requires <b>${{0=...|3|4|5|...}} total</b> from all players in order for our bribe to be successful. <b>If our bribe is successful</b>, we will be able to <b>substitute a <icon=S3_WeaponToken> token for a single Ingredient when performing Experiments</b>.<br /><br /><i>If successful, <b>all</b> money contributed by the players will be returned to the supply. If unsuccessful, the players keep any money contributed.</i>
MartialSepEventb_Content;Tally the amount of money that all players have revealed.<br /><br /><b>Was the bribe amount equal to or greater than the ${{0=...|3|4|5|...}} needed to sway their opinion?</b>
MartialSepEventYes_0_Content;{{0=?|The player that offered the <b>most</b> money also gains <b>3VP</b>. <i>If there is a tie, all tied players gain this bonus.</i><br /><br />}}Then, all players with money in their fists pay that money to the supply.
MartialSepEventNo_0_Content;Any player that offered at least $1 towards the bribe, <b>draws 1 Compulsion</b>.<br /><br />Then, all players return their money to their Quarters.
BarracksSimple_0_Content;Any player who did not place a piece on the Barracks this round {{0=|gains <b>1</b> <icon=Creepy_Icon>.|gains <b>2</b> <icon=Creepy_Icon>.|receives <b>$1 less</b> income this round.|<b>must</b> immediately lose <b>2VP</b>.|<b>must</b> immediately lose <b>3VP</b>.|<b>must</b> flip their Flag token to the <b>Separatist</b> side and lose <b>1VP</b>. The Monarchy is not pleased.|is fortunate as the Monarchy has decided not to penalize them this round.}}
Sabotage1Now_0_Content;{{0=...|Oliver|...}} <b>loses 3VP</b>{{1=|. | and must <b>discard 1 Experiment</b> they completed this Generation.}}
Player1BeenSabotaged_0_Content1;I would seek satisfaction <link=0>through a duel.</link> <i>(This could result in death or loss of VP.)</i><br /><br />I would <link=1>formally denounce these juvenile antics.</link> <i>(Through a strongly-worded letter.)</i>
DuelRules1_Content1;<link=0>I chose a battle of wits.</link><br /><br /><link=1>I chose pistols at dawn.</link><br /><br />Or perhaps, I chose to retract and <link=2>send them a strongly-worded letter.</link>
DuelDenounce1_0_Content;{{0=...|Oliver|...}} gains <b>1 <icon=Creepy_Icon></b> and loses <b>1VP</b>.
AcceptDuel1_0_Content1;I would <link=0>accept this duel.</link><br /><br />I would <link=1>decline this duel.</link>
DuelDecline1_0_Content;{{0=...|Oliver|...}} gains <b>1 <icon=Creepy_Icon></b>.
DuelResolution1a_SciSetup_Content;{{0=...|Oliver|...}} and {{1=...|James|...}} now count how many Levels they have moved their Journal Track forward in {{2=...|Engineering|Chemistry|Biology|Occult|...}}.<br /><br />They then count how many of their completed Experiments (including stored) are of the type {{2=...|Engineering|Chemistry|Biology|Occult|...}}.<br /><br />Each player adds these two numbers together to determine their total individual scientific prowess. <i>(For example, Level 1 in {{2=...|Engineering|Chemistry|Biology|Occult|...}} plus 2 completed {{2=...|Engineering|Chemistry|Biology|Occult|...}} Experiments would equal a total of 3.)</i>
DuelResolution1sci_Content;Please choose which player had the highest scientific prowess in {{0=...|Engineering|Chemistry|Biology|Occult|...}}:
DuelResolution1sci_Content1;<link=0>{{0=...|Oliver|...}} had the most.</link><br /><br /><link=1>{{1=...|James|...}} had the most.</link><br /><br /><link=2>They both had the same.</link>
ScienceDuelTiedRes_0_Content;{{0=...|Oliver|...}} and {{1=...|James|...}} both <b>gain 1 <icon=Creepy_Icon></b>.
DuelResolution1b_DeathSetup_Content;{{0=...|Oliver|...}} must place their <b>Self</b> into Lost. This piece cannot be reclaimed for the remainder of this Generation.{{1=?|<br /><br />{{0=...|Oliver|...}} gains their Caretaker piece from Lost (if possible). <i>As outlined in their will, in order to execute actions posthumously in case of their untimely demise.</i>}}<br /><br />Also, {{0=...|Oliver|...}} gains a <icon=Bodies_Icon>.
DuelResolution1b_WoundSetup_Content;{{0=...|Oliver|...}} loses <b>3VP</b>.
Martial2_BuildingDestroyedSetup_Content;One of the buildings in town was targeted by the {{0=...|Separatists|Unified Monarchists|...}}. Turn to page <b>{{1=...|5|6|7|8|...}}.</b>
ResistEnd2_Content1;<link=0>The {{0=...|Unified Monarchists|Separatists|...}}</link><br /><br /><link=1>The {{1=...|Separatists|Unified Monarchists|...}}</link>
ResistEnd3_Content1;<link=0>Click here if the {{0=...|Separatists|Unified Monarchists|...}} were successful</link><br /><br /><link=1>Click here if the {{1=...|Unified Monarchists|Separatists|...}} defended the attack and won the war.</link>
Martial_EndOfGen_Content;Remove all player pieces from the board and perform the End of the Generation. Players keep all <icon=S3_WeaponToken> tokens they acquired.
Reign1b_Placeholder;Enter noble title...
Reign2b_Placeholder;Enter noble title...
Reign3b_Placeholder;Enter noble title...
Reign4b_Placeholder;Enter noble title...
Reign5b_Placeholder;Enter noble title...
Reign6b_Placeholder;Enter noble title...
Reign7c_Placeholder;Enter noble title...
Reign8b_Placeholder;Enter noble title...
ATOW_FamineEventYes_Placeholder;Name your new meat product...
ATOW_UniGen3_Content;<b>University</b><br />When you visit this location, {{0=?|pay $1 to |}}gain 1 Caretaker piece of your color from Lost.<br /><br /><i>Note: The 1st Edition printing of the Village Chronicle displays the wrong icon <b>(gain Servant)</b> for this location. This should be a <b>gain Caretaker</b> symbol.</i>
ATOW_Church_Content;<b>Charitable Church</b><br />Pay $ X/X/X to move 1/2/3 spaces backwards on the <sprite name="Creepy_Icon"> Track.<br /><br /><i>For example, if the cost is 1/2/3 and you pay $2, you will lose 2 Creepy.</i>
ATOW_PlayerScoreName_Content;Enter the final score for <b>{{0}}</b>:
ATOW_PlayerScoreName_Placeholder;Score...
ATOW_TieBreakerMoney_Content;Enter the combined total of remaining Money + Ingredients for <b>{{0}}</b>:
