Tag;English_Source
Isolation_Content_BrazenOffer;<b>A Brazen Offer</b><br>Because of the strict import laws, smugglers have become far more emboldened. Once per round, each player may choose to visit the <span style="color: #E04E4E">Smuggler's Dock</span> by placing any piece there. (Any player with the "Key to the City" cannot visit this location as it is beneath their station.) If they do, they gain 2 Ingredients of their choice and then
Isolation_Content_Verification;<b>Verification of Identity</b><br>Players are required to place their <span style="color: #E04E4E">Self</span> on the Town Hall space once this Generation to prove their identity and avoid penalty. When they do, in addition to taking the Town Hall action, they will
Isolation_Content_TheExperiment;<b>The Experiment</b><br>Anytime a player completes {{0=ex|a Biology|a Chemistry|an Engineering}} Experiment, they will gain a Collaboration token <icon=S2_CollaborativeToken> from the Experiment Card in the town center.{{1=?| Each player can only collect a maximum of 1 token in this way. (A player who has already gained a Collaboration token may still complete those Experiments as normal.)| At the end of the round, the player with the most tokens will gain 4VP.}}
Isolation_Content_Church;<b>The Church</b><br>Wait until the first player takes the action at the Church, then
Isolation_Content_ObsessionFAQ;<b>Obsession Clarification and FAQ</b><br>If players have any questions about the Obsession cards,
Isolation_Content_EndOfRound;When you arrive at the End of the Round,
IsoIdentificationSignIn_Content;<b>The player will verify their identity with the town registry by selecting their name below:</b>
IsoIdentification_Setup_Content;{{0=?|Nothing else happens.|Apparently, the clerk thought you looked suspicious as well. Gain 1 <icon=Creepy_Icon>.}}
S4Con1_Setup_Content;Gain 2 <icon=Creepy_Icon>.
S4Con2_Content_1;[Pay ${{0=bribeAmount}}]
S4Con2_Content_2;[Accept the outcome of the trial]
S4Con3_Setup_Content;{{0=?|Nothing happens.|Gain 1 <icon=Creepy_Icon> for being weird.}}
S4Smug_Setup_Content;Turn to page 15 in the Village Chronicle.
SmugEvent_Content_1;[Biology]
SmugEvent_Content_2;[Chemistry]
SmugEvent_Content_3;[Engineering]
SmugEvent2_Content;<b>Did the players collect {{0=collab}} Collaboration tokens <icon=S2_CollaborativeToken>?</b>
SmugEvent2aa_Library_Setup_Content;Because of this terrible devastation, move the <icon=AngryMob_Icon> Marker 3 spaces to the left.
SmugEventEnd_Setup_Content;Because of this devastation, move the <icon=AngryMob_Icon> Marker {{0=moveLeft}} space(s) to the left.
SmugEvent2B_Setup_Content;For each Collaboration token <icon=S2_CollaborativeToken> in their possession, a player will gain 1 Knowledge of their choice.<br><br>Any player who does not have a Collaboration token <icon=S2_CollaborativeToken> will lose 2VP for failing to contribute to the effort.<br>{{0=?|<br>Because this is a 2-player game, the player who collected the most Collaboration tokens <icon=S2_CollaborativeToken> gains 4VP. (In a tie, neither player receives this reward.)<br>}}<br>Remove the Experiment card and all Collaboration tokens <icon=S2_CollaborativeToken> from the game and return them to the Scenario box.
IsolationCaravanResolve_Setup_Content;Every player may trade any 2 remaining Ingredients or Knowledge they have for 1VP. They may do this as many times as they are able.
TensionSetting_Setup_Content;Retrieve the Romani token <icon=S2_RomaniToken> from the Scenario box and place it on space 1 of the <icon=Creepy_Icon> Track.<br><br>Return the Suspicion Marker to the box.<br><br>Place the <icon=AngryMob_Icon> Marker on space 14 of the <icon=Creepy_Icon> Track.
WallCheck_Content_1;[The players have a combined total of {{0=wal}} or more bricks.]
WallCheck_Content_2;[The players have less than {{0=wal}} bricks.]
WitchTensionResolution_Setup_Content;{{0=witch}} gains a Servant from Lost and 1 Ingredient of their choice (or 2VP if they have no Servants in Lost).
Creepy1stPlayerB_Setup_Content;The player (or players) with the most VP loses 1 <icon=Creepy_Icon> and must discard 1 Experiment card from their hand (if able).
Tension_Content_Setup;<b>Setup</b><br>Turn to page 19 of the Village Chronicle.<br>{{0=?|<br>Return all bricks to the Scenario box.<br>}}<br>Retrieve the "Cabinet of Curiosities" Estate Upgrades from the Scenario box and place them near the Town Board.{{1=?|<br><br>Pass the starting player marker clockwise 1 additional time so that each player in a 3-player game is the starting player once in a Generation.}}
Tension_Content_SpecialRule;<b>Special Rule</b><br>Whenever a player places a piece on a location with a black border, move the Romani token <icon=S2_RomaniToken> 1 space to the right on the <icon=Creepy_Icon> Track.<br><br>Whenever a player places a piece on a location with a white border, move the <icon=AngryMob_Icon> Marker 1 space to the left on the <icon=Creepy_Icon> Track.
Tension_Content_SpecialEvent;<b>Special Event - Resolution</b><br>If the <icon=AngryMob_Icon> Marker ever overtakes the <icon=S2_RomaniToken> Marker, immediately
Tension_Content_MiddleBadSetup;<b>Setup</b><br>Turn to page 21 of the Village Chronicle.
Tension_Content_BadSpecialRule;<b>Special Rule</b><br>Whenever a player places a piece on a location with a black border, move the <icon=AngryMob_Icon> Marker 1 space to the left on the <icon=Creepy_Icon> Track.
Tension_Content_MiddleGoodSetup;<b>Setup</b><br>Turn to page 20 of the Village Chronicle.
Tension_Content_Crossroads;<b>A Crossroads</b><br>The first time any player reaches space {{0=crossroads}} on the <icon=Creepy_Icon> Track, immediately
Tension_Content_ObsessionPenalty;<b>Obsession Penalty</b><br>Any player who does not Deepen their Obsession by the End of this Generation will lose {{0=obsVp}}VP.
Tension_Content_PlotExpansion;<b>Plot Expansion</b><br>Bricks from the previous Generation can be used to expand to new plots on player Estates ($1 each).
Tension_Content_OccultExperimentation;<b>Occult Experimentation</b><br>The player with the most completed Occult Experiments at the end of the game will gain the "Cabinet of Curiosities" Vanity Estate Upgrade (10VP), which can be placed on an empty plot or over an existing upgrade at no cost. (On a tie, all tied players receive the reward.){{0=?| In addition, the player with the second-most completed Occult Experiments will also receive the "Cabinet of Curiosities" Vanity Estate Upgrade.}}
Tension_Content_Church;<b>The Church</b><br>Wait until the first player takes the action at the Church, then
Tension_Content_ObsessionFAQ;<b>Obsession Clarification and FAQ</b><br>If players have any questions about the Obsession cards,
Tension_Content_EndOfRound;When you arrive at the End of the Round,
TenseConfirmNo_Setup_Content;Remove the Romani token <icon=S2_RomaniToken> from the <icon=Creepy_Icon> Track and return it to the Scenario box.<br><br>For the rest of this round, the <icon=AngryMob_Icon> Marker will stay where it is.
TenseConfirmYes_Setup_Content;Move the <icon=AngryMob_Icon> Marker to the same space as the Romani token <icon=S2_RomaniToken>, then remove the Romani token <icon=S2_RomaniToken> from the <icon=Creepy_Icon> Track and return it to the Scenario box.
ThistenseBad_Setup_Content;If you have not done so already, remove the Romani token <icon=S2_RomaniToken> from the <icon=Creepy_Icon> Track and return it to the Scenario box.
ThisTenseGood_Setup_Content;Remove the <icon=AngryMob_Icon> Marker from the <icon=Creepy_Icon> Track and return it to the Scenario box.
TenseGoodEvent1_Setup_Content;Put a <icon=StorybookToken> token on space {{0=crossroads}} of the <icon=Creepy_Icon> Track.
TenseEventBad2Res_Content;<b>Reveal the result of the vote:</b>
TenseEventBad2Res_Content_1;[The YAYs have it!]
TenseEventBad2Res_Content_2;[The NAYs have it!]
TwoPTenseEvent2_Content;<b>The winner of the bid gains 4VP and will now make their choice:</b>
TwoPTenseEvent2_Content_1;[Steal the Romani supplies]
TwoPTenseEvent2_Content_2;[Take the ethical path]
TenseEventBad2Yes_Setup_Content;All players gain 2 Resources of their choice.{{0=?|<br><br>The player who won the bid gains 1 additional Resource of their choice.}}{{1=?|<br><br>All players who voted NAY lose 2 <icon=Insanity_Icon>.}}
TensionBonus_Content;The player with the most completed Occult Experiments gains the "Cabinet of Curiosities" Vanity Estate Upgrade (10VP), which can be placed on an empty plot or over an existing upgrade at no cost. (On a tie, all tied players receive the reward.){{0=?| In addition, the player with the second-most completed Occult Experiments also receives the "Cabinet of Curiosities" Vanity Estate Upgrade.}}<br><br>In addition, any player who has reached the final space of the Occult Track on their Estate Journal gains 3VP.
TensionCaravanResolve_Setup_Content;Every player may trade any 2 remaining Ingredients or Knowledge they have for 1VP. They may do this as many times as they are able.
Privatized_Title;Private Investors
Privatized_Setup_Title;SETUP
Privatized_Setup_Content;{{1=?|Retrieve the Hunt tokens <sprite=S2_HuntTokenFRONT> and turn them all so the yellow crosshairs are face-up.<br /><br />Shuffle them and randomly place one token on each Location shown on the Village Chronicle without looking at the opposite side. Keep any remaining tokens in a supply nearby.<br /><br />}}Place the Suspicion Marker on space <b>{{0=TRACKER}}</b> and the <icon=AngryMob_Icon> Marker one space to the left.{{2=?|<br /><br />Then, since this is a 3 player game, pass the starting player marker clockwise 1 additional time.}}
Privatized_Investment_Title;Investment in Town
Privatized_Investment_Content;To visit a Location with a <icon=S2_ColoredMoneyToken> token in another player's color, you must <b>pay $1</b> to the owner of the token. <i>($1 total for each visit even if multiple pieces are placed at the same time.)</i>
Privatized_Jail_Title;Jail
Privatized_Jail_Content;Our business investments have created new opportunities. When you visit the Jail, you may <b>pay $1</b> to take a Perform Experiment action.
Privatized_Hunt_Title;<sprite=StorybookToken> The Hunt is On
Privatized_Hunt_Content;Any time a player visits a Location with a Hunt token <icon=S2_HuntTokenFRONT>, they claim the token and place it on their Estate.<br /><br />At the end of each round, an expedition sets off to kill the Creature. All players on a successful expedition receive <b>5VP</b>.<br /><br />For a detailed explanation of the hunt,
Privatized_MiddleSetup_Title;SETUP
Privatized_MiddleSetup_Content;Remove the <b>Suspicion Marker</b> from the <icon=Creepy_Icon> Track. Return all <b>Hunt tokens</b> <icon=S2_HuntTokenFRONT> to the Scenario box.
Privatized_EverythingWrong_Title;Everything You Know is Wrong
Privatized_EverythingWrong_Content;You cannot place Servants or Spouse in TOWN until you have <b>reached or exceeded the <icon=AngryMob_Icon></b> Marker. Caretaker pieces can be placed in TOWN.
Privatized_Impressing_Title;<sprite=StorybookToken> Impressing the Warden
Privatized_Impressing_Content;In this town, creepy actions are rewarded by {{0=WARDEN}}. The first time your token reaches the final space (14) of the <icon=Creepy_Icon> Track,
Privatized_JunkPalaceAsylum_Title;The Junk Palace
Privatized_JunkPalaceAsylum_Content;When a player visits this Location, they may activate their {{0=ASYLUMUP}} ability.
Privatized_JunkPalace_Title;<sprite=StorybookToken> The Junk Palace
Privatized_JunkPalace_Content;When a player visits the Junk Palace, they may talk to {{0=WARDEN}}.
Privatized_BattleDome_Title;<sprite=StorybookToken> Blood in the Battledome
Privatized_BattleDome_Content;At the End of the Generation, each player will create a Warrior composed of their best Experiments in each discipline. For a detailed explanation of the final battle,
Privatized_HuntOver_Title;The Hunt
Privatized_HuntOver_Content;With the land changed, the hunt is abandoned forever.
Privatized_Crossroads_Title;<sprite=StorybookToken> At a Crossroads
Privatized_Crossroads_Content;When a player claims the Storybook token,
Privatized_Church_Title;The Church
Privatized_Church_Content;For the rules regarding the Church in this Generation,
Privatized_ObsessionFAQ_Title;<sprite=S2_Obsession> Obsession Reminder
Privatized_ObsessionFAQ_Content;For a reminder of how Obsession cards are resolved,
Privatized_EndOfRound_Title;End of the Round
Privatized_EndOfRound_Content;Once every player has passed and all Locations have been resolved,
PrivatetoJail_Setup_Content;Turn to page <b>8</b> of the Village Chronicle.
PrivateInvestors_Setup_Content;Retrieve the Player <icon=S2_ColoredMoneyToken> tokens from the Scenario box and give one to each player in their color. Starting with the player with the fewest VP and then to the next lowest, and so on, each player places their token on a Town Location of their choice. <i>If there is a tie, it is broken by turn order.</i><br /><br />When you visit a Location with a <icon=S2_ColoredMoneyToken> token in another player's color, you must <b>pay $1</b> to the owner of that token.
PrivateCountCure_Setup_Content;Retrieve the <b>Blessing of the Strigoi</b> card and give it to {{0=NAME}}. Place it face-up in front of you. The effects of this card last for the entire Generation.
PrivateHomeTile_Setup_Content;{{0=NAME}} gains the <b>House on the Hill</b> tile and places it face-up near their Estate.<br /><br />{{0=NAME}} may visit this Location as if it were a TOWN Location for the remainder of the game. No other players may visit this Location.
PrivateCountYesNo_Setup_Content;Each player <b>gains a Servant</b> from Lost.
PrivateReward_Setup_Content;Draw the top 2 Estate Upgrades from the stack.<br /><br />Build 1 of them at no cost and place the other on the bottom of the stack. <i>You must still pay any costs to expand to a new plot on your Estate.</i>
JunkPalaceMeet1_Content1;<link=0>I kindly declined the offer.</link>
JunkPalaceMeet1_Content2;<link=0>$1. (to gain 1 Creepy)</link>
JunkPalaceMeet1_Content3;<link=0>$2. (to gain 2 Creepy)</link>
JunkPalaceMeet1_Content4;<link=0>$3. (to gain 3 Creepy)</link>
JunkPalaceMeetb_Setup_Content;{{0=|Nothing happens.|Pay $1. Gain 1 Creepy.|Pay $2. Gain 2 Creepy.|Pay $3. Gain 3 Creepy.}}
BattleDomeExplanation_Title;Battle Warrior
BattleDomeExplanation_Content;The End of this Generation culminates in a scientific spectacle where <b>{{0=COUNT}}</b> mechanized combatants enter the dome and only one will exit. {{1=WARDEN}} will field a champion of their own.<br /><br />To form your Warrior, you will place your Battledome Warrior token in your play area and place any one completed Experiment of the matching type in each section. The <b>VP</b> amount listed on each Experiment determines the stat of your Warrior.<br /><br /><b>Agility</b> is equal to the VP of your Biology Experiment. <i>(The ability to dodge attacks.)</i><br /><b>Damage</b> is equal to the VP of your Engineering Experiment. <i>(The strength of your attacks.)</i><br /><b>HP</b> is equal to the combined VP of your Chemistry and Occult Experiments. <i>(How much damage you can receive.)</i><br /><br />Before the final battle, you will be asked to enter the stats of your Warrior. If you have no completed Experiments of a type, you will enter 0.<br /><br />The last Warrior remaining will receive <b>9VP</b>.
JailEventA_Setup_Content;Turn to page <b>9</b> in the Village Chronicle. Return all <b><icon=S2_ColoredMoneyToken> tokens</b> to the Scenario box.
JailEvent1A_Setup_Content;Retrieve the cross-shaped <b>Battledome Warrior</b> tiles and give one to each player.<br /><br />At the End of the Generation, each player will choose their single best Experiment of each type, place it face up in each of the 4 slots, and add its strength (VP total) to assemble their <b>Warrior</b> as noted on the Battledome Warrior tiles.
JailEvent1c_Setup_Content;All players return their {{0=ASYLUMUP}} tile to the Scenario box.
EndtotheCount_Setup_Content;{{0=|There is no bonus Servant this round. The Count has decided to no longer offer his services.|Each player <b>gains 1 Resource</b> of their choice as a parting gift. The Count has decided to no longer offer his services.}}
JailEvent2_Setup_Content;{{0=WARDEN}} claims the last of the Count's holdings. Turn to the final page of the Village Chronicle and prepare the Battledome Warrior tiles for the End of the Generation.
PrivateCreepPenalty_Title;Penalty for Defiance
PrivateCreepPenalty_Content;{{0=WARDEN}} has enacted a penalty for all players who did not reach the end of the <icon=Creepy_Icon> Track.<br /><br />{{5=?|<b>{{1=NAME_A}}</b> must suffer the penalty below.<br />}}{{6=?|<b>{{2=NAME_B}}</b> must suffer the penalty below.<br />}}{{7=?|<b>{{3=NAME_C}}</b> must suffer the penalty below.<br />}}{{8=?|<b>{{4=NAME_D}}</b> must suffer the penalty below.<br />}}<br /><b>Any player who did NOT reach the end of the <icon=Creepy_Icon> Track:</b><br /><br />{{9=|Lose <b>5VP</b>.|Discard a Vanity Estate Upgrade from your Estate if possible.}}
BattlePreparation_Title;The Battledome
BattlePreparation_Content;Each player will now build their <b>Warrior</b> within the Storybook.<br /><br />To form your Warrior, place any one completed Experiment of the matching type in each section of your <b>Battledome Warrior</b> tile. The <b>VP</b> amount listed on each Experiment represents the STAT of your Warrior.<br /><br /><b>Agility</b> is equal to the VP of your Biology Experiment. <i>(The ability to dodge attacks.)</i><br /><b>Damage</b> is equal to the VP of your Engineering Experiment. <i>(The strength of your attacks.)</i><br /><b>HP</b> is equal to the combined VP of your Chemistry and Occult Experiments. <i>(How much damage you can receive.)</i><br /><br />If you have no completed Experiments of a type, you will enter 0.
BattleStatEntry_Title;{{0=NAME}}'s Warrior
BattleAskAgility_Content;{{0=NAME}}, please enter the VP of your Biology Experiment - your Warrior's Agility.
BattleAskStrength_Content;{{0=NAME}}, please enter the VP of your Engineering Experiment - your Warrior's Strength.
BattleAskLife_Content;{{0=NAME}}, please enter the VP of your Chemistry and Occult Experiments combined - your Warrior's Life.
BattleAskName_Content;{{0=NAME}}, please enter the epic name of your Warrior.
BattleAgilityConfirmed_Title;Agility Confirmed
BattleAgilityConfirmed_Content;<b>{{0=VALUE}}</b> is locked in as how likely you are to dodge an attack.
BattleStrengthConfirmed_Title;Strength Confirmed
BattleStrengthConfirmed_Content;<b>{{0=VALUE}}</b> is locked in as how much damage you will deal.
BattleLifeConfirmed_Title;Life Total Confirmed
BattleLifeConfirmed_Content;<b>{{0=VALUE}}</b> is locked in as your ability to receive damage.<br /><br />Your Warrior is built and prepared for a battle to the death. Now it only needs a mighty name.
BattleWarriorComplete_Title;{{0=WARRIOR}} Complete
BattleWarriorComplete_Content;Agility: <b>{{0=AGI}}</b><br />Strength: <b>{{1=STR}}</b><br />Life: <b>{{2=HIT}}</b><br /><br /><b>You are ready for a trial by combat!</b>
BattleWarriorComplete_Content1;If this is correct, please <link=0>click to continue...</link><br /><br />If this is in error, please <link=1>return to the start...</link>
BattleEnd_Setup_Content;{{1=?|{{0=NAME}} keeps the arena and everything in it. No household gains the champion's reward.|{{0=NAME}} gains <b>9VP</b>.}}
LiberalHomeTile_Setup_Content;Take the <b>House on the Hill</b> tile from the Scenario box and place it beside your Estate.<br /><br />{{0=Player}} is the owner of this second property and may use it as an additional Estate space for the remainder of the game.
LibCountBlessing_Setup_Content;{{0=Player}} takes the <b>Blessing of the Strigoi</b> card from the Scenario box and places it face-up in front of them.<br /><br />While they hold this card they are considered a thrall of the Count and are immune to Insanity gained from Scenario events.
LiberalReplace_Setup_Content;Advance the Asylum marker on the Scenario track to space <b>{{0=3}}</b>.<br /><br />Then take all <b>Rehabilitation</b> tokens from the Scenario box and place them in a supply within easy reach of all players.<br /><br />Whenever a player is instructed to gain a Rehabilitation token they take one from this supply. If the supply is ever empty, no token is gained.
ExpYes_Setup_Content;The Creature is dead. Return the Creature standee to the Scenario box.<br /><br />Every player who took part in the expedition discards all of their Hunt tokens <icon=S2_HuntTokenFRONT> and gains <b>3VP</b> for their part in the kill. The player who contributed the most Clues gains an additional <b>2VP</b>. <i>(If tied, all tied players gain the bonus.)</i>
ExpNo_Setup_Content;The Creature escapes. Every player who took part in the expedition discards all of their Hunt tokens <icon=S2_HuntTokenFRONT> and gains <b>1VP</b> for the attempt.<br /><br />{{0=?|The Creature remains at large. A new hunt may be mounted in a later round.|The Creature can no longer be hunted this Generation. Leave the Creature standee on the board.}}
EssentialCons_Setup_Content;Every player who paid for the resurrection returns their Spouse <icon=Spouse> from the Lost pile to their Estate.<br /><br />{{0=?|In addition, each of those players gains <b>1 Creepy</b>.|The experiment was flawless. No Creepy is gained.}}
EssentialSaltsRes_Setup_Content;Every player who paid for the resurrection takes a <b>Caretaker</b> <icon=Caretaker> from the Lost pile and places it in their Estate instead of their Spouse.<br /><br />Each of those players also gains <b>1 Creepy</b>.
EssentialSaltsNo_Setup_Content;No player attempted the resurrection. Every player gains <b>2VP</b> for their restraint and loses <b>1 Creepy</b> if able.
LiberalEvent3Resa_Content;The player who won the bid may now name the new program at the Asylum. This name will be used for the remainder of the Scenario.
